,antenna,eclipse_state,end_time,id,max_el,satellite,start_time,terminator_time,lost_imagery,midpoint,duration,utility
0,ground_site1_2a,"[True, False]",2017-02-16 00:00:34.101531,7181005,13.99,sat1,2017-02-15 23:53:36.101531,2017-02-15 23:59:16.542937,349.013673,2017-02-15 23:57:05.101531,418.0,9031.06919892
1,ground_site1_2b,"[True, False]",2017-02-16 00:00:34.162683,7180998,13.98,sat1,2017-02-15 23:53:36.162683,2017-02-15 23:59:16.604089,349.013673,2017-02-15 23:57:05.162683,418.0,9031.06919892
2,ground_site1_2c,"[True, False]",2017-02-16 00:00:34.233398,7180999,13.99,sat1,2017-02-15 23:53:36.233398,2017-02-15 23:59:16.674804,349.013673,2017-02-15 23:57:05.233398,418.0,9031.06919892
3,ground_site1_1,"[True, False]",2017-02-16 00:00:34.893047,7181002,13.99,sat1,2017-02-15 23:53:36.893047,2017-02-15 23:59:17.334453,349.013673,2017-02-15 23:57:05.893047,418.0,9031.06919892
4,ground_site1_1a,"[True, False]",2017-02-16 00:00:34.979290,7181003,13.99,sat1,2017-02-15 23:53:36.979290,2017-02-15 23:59:17.420696,349.013673,2017-02-15 23:57:05.979290,418.0,9031.06919892
5,ground_site1_2,"[True, False]",2017-02-16 00:00:34.040456,7181004,13.99,sat1,2017-02-15 23:53:37.040456,2017-02-15 23:59:16.667409,348.1787115,2017-02-15 23:57:05.540456,417.0,9009.46377078
6,ground_site1_2c,"[True, False]",2017-02-16 00:12:38.995603,7181832,11.66,sat2,2017-02-16 00:06:18.995603,2017-02-16 00:11:25.519040,330.6445335,2017-02-16 00:09:28.995603,380.0,8564.01119682
7,ground_site1_1,"[True, False]",2017-02-16 00:12:39.688841,7181827,11.66,sat2,2017-02-16 00:06:19.688841,2017-02-16 00:11:26.212278,330.6445335,2017-02-16 00:09:29.688841,380.0,8564.01119682
8,ground_site1_1a,"[True, False]",2017-02-16 00:12:39.750397,7181828,11.66,sat2,2017-02-16 00:06:19.750397,2017-02-16 00:11:26.273834,330.6445335,2017-02-16 00:09:29.750397,380.0,8564.01119682
9,ground_site1_2,"[True, False]",2017-02-16 00:12:39.811695,7181829,11.66,sat2,2017-02-16 00:06:19.811695,2017-02-16 00:11:26.335132,330.6445335,2017-02-16 00:09:29.811695,380.0,8564.01119682
